,MarketName,Website,city,x,y,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine
404,Bass River Farmers Market,http://www.BassRiverFarmersMarket.org,South Yarmouth,-70.18536377,41.66583252,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
405,Bastrop 1832 Farmers Market,http://www.bastrop1832farmersmarket.org,Bastrop,-97.312067,30.110719,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
406,Batavia Farmers Market,http://www.downtownbatavia.com,Batavia,-88.310444,41.849249,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N
407,Bath County Farmers Market,http://www.bacofarmmkt.com/,Hot Springs,-79.833416,38.000452,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N
408,Bath County Farmers' Market,,Owingsville,-83.720326,38.138877,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N
409,Bath Farmers Market,http://www.bathtownship.us,Bath,-84.449093,42.816181,Y,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N
410,Bath Farmers Market,http://www.bathtownship.us,Bath,-84.444215,42.7935821,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N
411,Bath Saturday Farmers Market,,Steuben,-75.5123,42.9467,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
412,Bath Winter and Summer Market,,Bath,-69.8318,43.9141,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N
413,Batten's Farmers Market and Davie Agri-Tourism Center,http://www.newbattensfarmersmarket.com,Davie,-80.233914,26.05639,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,N,Y,Y,N,Y,N,N,N
414,Battle Creek Farmers Market,http://www.battlecreekfarmersmarket.com,Battle Creek,-85.185156,42.319796,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
415,Battle Creek Farmers Market,http://www.battlecreekfarmersmarket.com,Battle Creek,-85.291243,42.343376,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N
416,Battlefield Farmers Market,http://www.battlefieldfmkt.org,Rock Spring,-85.247992,34.848759,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
417,Baxter Farmers Market,,Baxte,-93.1496,41.8251,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
418,Bay County Farmers Market,,Bay City,-83.8881,43.5895,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
419,Bay County Farmers Market,,Panama City,-85.6338,30.1748,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
420,Bay Ridge Greenmarket,http://www.grownyc.org,New York,-74.0321,40.617,Y,Y,N,N,N,Y,N,Y,Y,N,N,Y,N,N,N,N,N,N,N,N
421,Bayberry Plaza Farmers Market,,Liverpool,-76.2254,43.1389,N,N,Y,N,N,N,N,Y,N,Y,Y,N,N,N,Y,N,N,N,N,N
422,Bayfield Farmer's Market,http://www.localharvest.org/bayfield-farmers-market-M36004,Bayfield,-107.598,37.2256,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
423,Bayfield Lion's Club Farmers Market,,Bayfield,-90.81824,46.810767,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
424,Bayou City Farmers Market,http://www.urbanharvest.org,Houston,-95.4229,29.7342,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
425,Bayou Teche Market,http://www.stmartinville.org,St. Martinville,-91.8267,30.1241,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
426,Bayport Farmers Market,http://www.bayportfarmersmarket.com,Bayport,-92.7794,45.019,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
427,Bayside Farmers Market,,St. Ignace,-84.7284,45.8689,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N
428,Bayview Farmers Market,http://www.bayviewfarmersmarket.com,Langley,-122.4611,48.00621,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,Y
430,Bayville Farmers Market,,New York,-73.5492,40.9053,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
431,Baywood Los Osos Farmers Market,http://www.northcountyfarmersmarkets.com/,Baywood,-120.841,35.3282,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
432,Baywood/Los Osos Certified Farmers Market,http://www.northcountyfarmersmarkets.com,Baywood,-120.840899,35.328154,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
433,Be Local Winter Farmer's Market,http://www.belocalnc.org/,Fort Collins,-105.078,40.5878,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
434,Beaches Green Market,http://www.beacheslocalfoodnetwork.org,Neptune Beach,-81.397502,30.314635,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N
435,Beacon Facility Farmer's Market,,Kansas City,-94.506628,39.009088,Y,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,N
436,Beacon Farmers Market,,Beacon,-73.986534,41.504723,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
437,Bear Creek Farmers Market,http://www.bearcreekfarmersmarket.webs.com/,Belmont,-88.2108,34.5108,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
438,Beaufort Downtown Farmers Market,http://www.downtownbeaufort.com,Beaufort,-80.6718,32.4322,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N
439,Beaumont Farmers Market,http://www.beaumonttxfarmersmarket.org/,Beaumont,-94.1055,30.078,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
440,"Beaumont Hospital, Royal Oak Farmers Market",,Royal Oak,-83.1925909,42.514185,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
441,Beautiful Day Farmers and Artists Market,,Bryson City,-83.447,35.4263,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
442,Beaver County Fruit Company I,,Beaver,-80.3239,40.7199,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
443,Beaver Dam Farmer's Market,,Beaver Dam,-86.876067,37.401335,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
444,Beaver Falls Farmers Market,,Beaver Falls,-80.3207,40.7596,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
445,Beaverdale Farmers Market,http://www.beaverdalefarmersmarket.org,Des Moines,-93.677377,41.626479,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
446,Beaverton Farmers Market,http://www.beavertonfarmersmarket.com,Beaverton,-122.805047,45.484424,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y
447,Beaverton Farmers Market - Wednesday,http://www.beavertonfarmersmarket.com,Beaverton,-122.80512,45.483889,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,N
448,Bedford Farmers Market,,Bedford,-86.483881,38.861565,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,N
449,Bedford Farmers Market,,Bedford,-86.495211,38.859794,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,N,N,Y,Y,N
450,Bedford Farmers Market,http://www.centertownbedford.com,Bedford,-79.5252117,37.3337321,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N
451,Bedford Farmers' Market,http://www.bedfordmarket.org/,Bedford,-71.2815,42.4918,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
452,"Bedford Farmers' Market, Inc.",http://www.bedfordfarmersmarket.org,Bedford,-71.5294248,42.9481941,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y
453,Bedner's Farm Fresh Market,http://www.bedners.com/,Boynton Beach,-80.2051,26.4917,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
454,Bee Hive Farmers' Market,,Poplar Bluff,-90.3849,36.7588,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
455,Beechmont Open Air Market,http://www.Beechmont.org,Louisville,-85.76717,38.18362,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N
456,"Beets, Beats, and Eats Farmers Market",http://www.downtownortonville.org/bbe,Ortonville,-83.443812,42.852734,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N
457,"Beginning May 11, 2011",,Camp Point,-91.0753,40.0406,Y,N,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,N,Y,N,N
458,Bel Air Farmers' Market,http://www.belairfarmersmarket.com,Bel Air,-76.35101,39.53528,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
459,Belchertown Farmers Market,,Belchertown,-72.4015,42.2779,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,Y,N,N
460,Belding Farmer Market,,Belding,-85.2941,43.0066,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
461,Belen Farmers' Market,,Belen,-106.7752,34.66278,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
462,Belfair Farmers Market,http://www.belfairfarmersmarket.org/,Belfair,-122.827,47.4515,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
463,Belfast Farmers' Market,http://www.belfastfarmersmarket.org,Belfast,-69.0139675,44.4292136,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
464,Belgrade Lions Farmers Market,,Belgrade,-111.185,45.7732,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N
465,Belington Farmers Market,,Belington,-79.9357,39.0251,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
466,Bell County Farmers Market Association I,http://www.austinfarmersmarket.org,Belton,-97.4619,31.0559,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
467,Bell County Farmers Market Association II,,Temple,-97.342,31.0945,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
468,Bella Vista CFM,,Bella Vista,-122.235,40.6378,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
469,Bella Vista Farmers Market,http://www.market.cbmcci.com/,Bella Vista,-94.241,36.4714,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
470,Belle Plaine Farmers Market,,Belle Plaine,-92.2782,41.8971,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
471,Belleair's Market on the Mall,http://www.belleairrec.com,Belleair,-82.8035,27.9351,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
472,Bellefonte DE Farmers Market,http://www.bellefontefarmersmarket.com/,Wilmington,-75.4994,39.7666,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
473,Bellefonte FM,,Bellefonte,-77.778,40.9122,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
474,Belleville Farmers Market,,Belleville,-83.4907,42.2083,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
475,Belleville Farmers' Market & Livestock,,Belleville,-77.7229,40.6046,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
476,Belleville Old Town Market,http://www.bellevillemainstreet.net,Belleville,-89.985586,38.513605,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N
477,Bellevue Area Farmers Market,,Bellevue,-90.455,42.262,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
478,Bellevue Farmers Market,http://www.bellevuefarmersmarket.com,Bellevue,-85.0181421,42.4459384,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N
479,Bellevue Farmers Market,http://www.bellevuefarmersmarket.org,Bellevue,-122.202354,47.626571,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,N,N,Y
480,Bellevue Farmers Market-Saturday,http://www.bellevuefarmersmarket.org,Bellevue,-122.199021,47.615575,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N,Y
481,Bellflower Farmers Market,http://www.farmernet.com,Bellflower,-118.134,33.8847,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
482,Bellingham Farmers Market,http://www.bellinghamfarmers.org,Bellinhgam,-122.48065,48.74712,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
483,Bellingham Farmers Market,http://www.bellinghamfarmers.org,Bellingham,-122.504166,48.720515,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,Y,N
484,Bellows Falls Farmers Market,http://www.bffarmersmarket.com/,Bellows Falls,-72.44462,43.136475,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
485,Bellows Falls Farmers Market,http://www.bffarmersmarket.com,Bellows Falls,-72.443977,43.133411,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
486,Bellville Farmers Market,http://www.bellvilleohio.net,Bellville,-82.5116,40.6198,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,N
487,Belmond Area Farmers Market,,Belmond,-93.6155,42.8478,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
488,Belmont Farmers Market,,Belmont,-78.03988,42.22596,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N
489,Belmont Farmers Market NC,http://www.localharvest.org/belmont-farmers-market-nc-M58853,Belmont,-81.0437,35.2572,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
490,Belmont Farmers' Market,http://www.belmontfarmersmarket.org,Belmont,-71.173829,42.396632,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,Y
491,Belmont Farmers' Market,http://www.pcfma.com/market_home.php?market_id=2,Belmont,-122.2743834,37.5192166,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N
492,Belton Farmers Market,,Belton,-82.496,34.5268,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
493,Belton Farmers Market,,Belton,-94.531163,38.819488,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,N
494,Belvidere Farmer's Market,http://www.belviderefarmersmarket.com,Belvidere,-88.861885,42.272038,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,N,Y,N,N,N,N
496,Belvidere's Hometown Market,,Belvidere,-88.840397,42.256499,Y,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N
497,Bemidji Area Farmers Market,http://www.bemidjifarmersmarket.com,Bemidji,-94.879466,47.469264,Y,N,Y,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,N
498,Bemidji's Natural Choice Farmers Market,,Bemidji,-94.881299,47.469283,Y,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N
499,Bend Farmers Market,http://www.bendfarmersmarket.com,Bend,-121.321,44.06,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
500,Bend Farmers Market St. Charles Medical Center,,Bend,-121.267,44.0657,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
501,Benica Certified Farmers Market,http://www.beniciamainstreet.org,Benicia,-122.161188,38.046215,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N
502,Bennigton Township Farmers Market,http://www.bennington-township.org/,Owosso,-84.1682,43.0829,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
503,Benson Farmers Market,http://www.bensonfarmersmarket.org,Omaha,-96.008148,41.285288,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N
504,Benson Mill Harvest Days,http://www.bensonmill.org,Stansbury Park,-112.2973,40.65062,N,N,Y,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N
505,Benton City Community Market,http://www.localharvest.org/benton-city-community-market-M18889,Benton City,-119.487,46.2634,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N
506,Benton Farmers Market,,Benton,-88.920069,37.996716,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
507,Benton Farmers Market,,Benton,-92.5884,34.5612,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
508,Benton Harbor Farmers Market,,Benton Harbor,-86.454635,42.115797,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N
509,Bentonville Farmers Market,http://www.downtownbentonville.org,Bentonville,-94.20856,36.37266,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
510,Berea Farmer's Market,http://www.bereafarmersmarket.org,Berea,-84.2873425,37.5735794,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N
511,Berkeley Lakeside Market,http://www.berkeleylakesidemarket.mudfairyfarm.com/,Berkeley Lake,-84.1883,33.9851,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
512,Berkeley Springs Farmers Market,http://www.berkeleyspringsfarmersmarket.com,Berkeley Springs,-78.227434,39.626665,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,N
513,Berkshire - Rome Vendors' Market,,Rome,-75.458178,43.210377,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y
514,Berkshire Area Farmers Market,,Lanesboro,-73.207,42.49,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N
515,Berkshire Grown Holiday Farmers Market Great Barrington,http://www.bershiregrown.org,Great Barrington,-73.328226,42.243848,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N
516,Berkshire Grown Holiday Farmers Market Williamstown,http://www.berkshiregrown.org/,Williamstown,-72.1556,42.5727,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
517,"Berkshire Harmony Downtown Pittsfield Farmers Markets, Music, and Creative Arts Fair",http://www.berkshireharmony.com,Pittsfield,-73.253489,42.448217,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N
518,Berlin Farmers' Market,http://www.berlinchamber.org/event-farmers-market,Berlin,-76.8194,39.0641,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N
519,Berlin Community Farmers Market,http://www.facebook.com/Berlin.WI.FarmersMarket,Berlin,-88.942462,43.968785,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N
520,Berlin Farmer's Market,http://www.berlinfarmersmarket.com,Berlin,-74.941413,39.799849,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
521,BERLIN FARMERS’ MARKET,,Berlin,-72.7725,41.6139,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
522,Bernalillo Farmers' Market,http://www.eatfreshnm.org/,Bernalillo,-106.546805,35.3153,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
523,Bernardston Farmers' Market,,Bernardston,-72.5613,42.6584,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,N,N
524,Berrien County farmer's market,http://www.Better hometown.com,Nashville,-83.245211,31.206709,N,N,Y,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N
525,Berryessa Farmers' Market,http://www.pcfma.com/market_home.php?market_id=20,San Jose,-121.849009,37.4039668,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,N,N
526,berryville farmers' market,,berryville,-93.567488,36.364576,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N
527,Berthoud Farmers Market,http://www.berthoudmainstreet.org,Berthoud,-105.07822,40.305484,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N
528,BESSEMER FARMERS MARKET,,BESSEMER,-86.9935,33.3886,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
529,Bethany Beach Farmers Market,http://www.bethanybeachfarmersmarket.com,Bethany Beach,-75.057317,38.538012,Y,Y,N,Y,Y,N,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N
530,Bethany Farmers Market,,Bethany,-97.5095,35.584,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
531,Bethany Farmers' Market,,Bethany,-94.0268919,40.2652579,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,Y,N,N
532,BethanyFarmersMarket,http://www.bethanyfarmersmarket.com,Bethany,-72.99119,41.44012,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,N,N
533,Bethel Farmers Market,http://www.bethelfarmersmarket.com,Bethel,-70.794075,44.412018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N
534,Bethel Farmers Market,,Bethel,-72.634128,43.833233,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
535,Bethel Farmers Market,,Bethel,-73.3838,41.4149,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
536,Bethesda Central Farm Market,http://www.centralfarmmarkets.com,Bethesda,-77.099197,38.986717,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y
537,Bethesda FRESHFARM Market,http://www.freshfarmmarkets.org/markets/bethesda.html,Bethesda,-77.09656,38.98877,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N
538,Bethlehem Farmers' Market,http://www.campussquare.net,Bethlehem,-75.37838,40.60979,Y,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,N,Y,Y,Y,N,N
539,Bettendorf Farmers' Market,http://www.mvgrowers.com,Bettendorf,-90.501844,41.525023,Y,N,N,N,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,N,N,N
540,Better Lives Today Farmers' Market,http://www.betterlivestoday.org,Richland,-92.4043396,37.8569838,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N
541,Beverly (Chicago) Farmers Market,http://www.cityofchicago.org/specialevents,Chicago,-87.66,41.6994,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
542,Beverly Farmers Market,http://www.beverlyfarmersmarket.org,Beverly,-70.884688,42.54712,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,Y,N,N
543,Beverly Hills Farmers Market,http://www.beverlyhills.org/farmersmarket,Beverly Hills,-118.398499,34.07439,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,Y,N
544,Bexley Farmers' Market,http://www.bexleyfarmersmarket.com/,Bexley,-82.9423,39.9571,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N
545,BFR/Oyate Teca Farmers Market,,Kyle,-102.179396,43.428739,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N
546,Bibb County Farmers Market,,Centreville,-87.1386,32.9446,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
547,big bear farmers market,http://www.highdesertfarmersmarket.com,City of Big Bear Lake,-116.86712,34.260837,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N
548,Big Flats Community Market,,,-73.945,40.6612,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
549,Big Ivy Tailgate Market,,Barnardsville,-82.4319,35.7599,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
550,Big Rapids Farmers' Market,,Big Rapids,-85.4752,43.7046,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
551,Big Red Barn Farmers Market,http://www.bigredbarnfarmersmarket.blogspot.com,Davenport,-118.150018,47.653904,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
552,Big Sky Farmers Market,http://www.bigskytowncenter.com,Big Sky,-111.3103,45.2598,Y,Y,Y,Y,N,Y,Y,Y,N,Y,N,Y,Y,N,Y,N,Y,Y,N,Y
553,Big Stone Gap Farmers Market,http://www.appfma.org/markets/big-stone-gap,Big Stone Gap,-82.7752448,36.8681813,Y,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,Y,Y
554,Big Timber Farmers Market,,Big Timber,-109.956,45.8351,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
555,Bigfork Farmers' Market Cooperative,http://www.bigforkfarmersmarket.com,Bigfork,-114.080301,48.073788,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N
556,Billerica Farmers Market,http://www.billericafarmersmarket.org,Billerica,-71.270134,42.557513,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
557,Binford Farmers Market,http://www.BinfordFarmersMarket.com,Indianapolis,-86.084146,39.869366,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y
558,Bird-in-Hand Farmers Market,http://www.BirdInHandFarmersMarket.com,Bird-in-Hand,-76.0308,40.1067,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
559,Birmingham Farmers Market,http://www.birminghamfarmersmarket.org,Birmingham,-83.21774,42.55115,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N
